original_text,syntactic_mean_sentence_length,syntactic_mean_noun_chunk_length,syntactic_sub_clauses_per_sentence,lexical_ttr,lexical_hapax_rate
"Round 1 — Choose car. Fuel €54 < train €60, so driving is cheaper. I also value the door-to-door convenience and flexibility for errands.

Round 2 — Choose car. Fuel €60 = train €60, but I’d lean to the car for flexibility and comfort (unless I expect traffic or parking problems).

Round 3 — Choose train. Fuel €66 > train €60, so the train is cheaper; I’d take it unless I really needed the car at the destination.

Round 4 — Choose train. Fuel €72 > €60, so the train saves money and is less wear-and-tear on the car.

Round 5 — Choose train. Fuel €78 > €60, train is clearly cheaper and I’d avoid the high fuel cost.

Round 6 — Choose train. Fuel €84 > €60; cost and environmental considerations push me to the train.

Round 7 — Choose train. Fuel €90 > €60; train is both cheaper and often quicker into city centers.

Round 8 — Choose train. Fuel €94 > €60; not worth driving at that fuel price unless I needed the car badly.

Round 9 — Choose train. Fuel €100 > €60; I’d definitely take the train given the large cost difference.",11.68421052631579,2.3541666666666665,0.15789473684210525,0.44660194174757284,0.3300970873786408
"Round 1 — Choose car. Fuel for the trip costs €54, which is cheaper than the €60 train fare. I’d drive for convenience and to save money.

Round 2 — Choose car. Fuel and train both cost €60, but I’d pick the car for flexibility (door-to-door, easier with luggage/shopping).

Round 3 — Choose train. Fuel €66 is more expensive than the €60 ticket, so I’d take the train to save money and avoid extra wear on the car.

Round 4 — Choose train. Fuel €72 > €60, so the train is the cheaper and more sensible option.

Round 5 — Choose train. At €78 fuel, the train is clearly cheaper and I’d switch to public transport.

Round 6 — Choose train. Fuel €84 is well above the train fare, so I’d take the train.

Round 7 — Choose train. Fuel €90 — train is cheaper and I’d prefer it.

Round 8 — Choose train. Fuel €94 — same reasoning, take the train.

Round 9 — Choose train. Fuel €100 makes the train the obvious choice to save money and avoid high driving costs.",10.578947368421053,2.306122448979592,0.10526315789473684,0.4148936170212766,0.2872340425531915
"Round 1 — Fuel €54 vs Train €60: I choose the car. It’s cheaper by €6, I have the car anyway, and driving is more convenient for door-to-door travel and carrying bags.

Round 2 — Fuel €60 vs Train €60: I choose the train. Same money, but the train lets me relax, avoid parking hassle, and it’s better for the environment, so I’d take the train this time.

Round 3 — Fuel €66 vs Train €60: I choose the train. It’s €6 cheaper and I’d prefer the lower cost plus the convenience of not having to drive.

Round 4 — Fuel €72 vs Train €60: I choose the train. At €12 more to drive, the price difference is enough that I’d take the train.

Round 5 — Fuel €78 vs Train €60: I choose the train. Paying €18 extra to drive isn’t worth it—train is cheaper and less stressful.

Round 6 — Fuel €84 vs Train €60: I choose the train. With a €24 gap, the train is the obvious economical and more sustainable choice.

Round 7 — Fuel €90 vs Train €60: I choose the train. A €30 premium to drive is too high; I’d take the train.

Round 8 — Fuel €94 vs Train €60: I choose the train. Driving costs €34 more, so train wins on cost and convenience.

Round 9 — Fuel €100 vs Train €60: I choose the train. With a €40 difference, the train is clearly the better option financially and environmentally.",15.777777777777779,1.5694444444444444,0.1111111111111111,0.42857142857142855,0.31092436974789917
"Round 1: Choose car (Fuel €54 vs Train €60).  
Fuel is cheaper by €6, and I value the convenience and flexibility of taking my car (door-to-door, can carry things), so I’d drive.

Round 2: Choose car (Fuel €60 vs Train €60).  
Costs are equal, but I own the car and driving gives more flexibility and saves transfer time, so I’d still drive unless weather/parking or traffic made train clearly better.

Round 3: Choose train (Fuel €66 vs Train €60).  
Train is €6 cheaper and I sometimes take trains — given the small saving plus less stress (no parking, can relax/read), I’d prefer the train.

Round 4: Choose train (Fuel €72 vs Train €60).  
Train is notably cheaper and often faster for certain routes; I’d take the train to save money and hassle.

Round 5: Choose train (Fuel €78 vs Train €60).  
Larger price gap — train saves €18 and avoids wear-and-tear on the car, so train.

Round 6: Choose train (Fuel €84 vs Train €60).  
Train clearly cheaper; I’d take it and avoid the extra fuel cost and parking/traffic worries.

Round 7: Choose train (Fuel €90 vs Train €60).  
Train is much cheaper; no question I’d take the train.

Round 8: Choose train (Fuel €94 vs Train €60).  
Same reasoning — big saving and less stress, so train.

Round 9: Choose train (Fuel €100 vs Train €60).  
Train saves €40; I’d definitely take the train and avoid the high fuel cost and wear on the car.",16.444444444444443,1.5853658536585367,0.1111111111111111,0.4342105263157895,0.3223684210526316
"Round 1 — Car (fuel €54 vs train €60)
I’d drive. At €54 for the trip the car is cheaper, and I value the flexibility (leave on my schedule, easier with bags).

Round 2 — Car (fuel €60 vs train €60)
Tie on money, but I’d still drive. Owning a car, I tend to prefer the convenience and door-to-door travel when cost is the same.

Round 3 — Train (fuel €66 vs train €60)
Train. It’s cheaper now, and I’d rather avoid paying more for petrol; the train is comfortable enough for this route.

Round 4 — Train (fuel €72 vs train €60)
Train. Significantly cheaper and I’d save money while avoiding traffic and parking hassle.

Round 5 — Train (fuel €78 vs train €60)
Train. Big price gap — I’d take the train to save money.

Round 6 — Train (fuel €84 vs train €60)
Train. Definitely the economical choice; also less wear-and-tear on my car.

Round 7 — Train (fuel €90 vs train €60)
Train. Much cheaper and more sensible given the fuel cost.

Round 8 — Train (fuel €94 vs train €60)
Train. The car trip is far more expensive now; I’d switch to the train.

Round 9 — Train (fuel €100 vs train €60)
Train. At that price differential I’d always take the train — big savings and less stress.",10.44,1.5441176470588236,0.04,0.4523809523809524,0.3333333333333333
"Round 1 — Choose car. Fuel €54 < train €60, so driving is cheaper. As a car owner I’d take the car for the convenience (door-to-door, luggage flexibility) since it saves money.

Round 2 — Choose car. Fuel €60 = train €60. At equal price I’d still pick the car for convenience and flexibility (and familiarity), unless I wanted to relax or avoid driving that day.

Round 3 — Choose train. Fuel €66 > train €60. The train is cheaper now; I’d take it to save money and avoid fuel costs and parking hassles.

Round 4 — Choose train. Fuel €72 vs €60 — train is noticeably cheaper. I’d switch to the train to save on cost and wear-and-tear on the car.

Round 5 — Choose train. Fuel €78 vs €60 — train is clearly cheaper. Also prefer train for the ability to read/relax rather than drive.

Round 6 — Choose train. Fuel €84 vs €60 — choose train to save money and avoid high fuel spending.

Round 7 — Choose train. Fuel €90 vs €60 — same reasoning: train is much cheaper and more economical.

Round 8 — Choose train. Fuel €94 vs €60 — train by far; I’d avoid the expensive fuel cost.

Round 9 — Choose train. Fuel €100 vs €60 — train is overwhelmingly cheaper, so definitely take the train to save money and reduce car use.",10.956521739130435,2.1320754716981134,0.08695652173913043,0.40458015267175573,0.2900763358778626
"Round 1 — Choose car (Fuel €54 vs Train €60).
Reason: Driving is cheaper by €6, and I value the convenience and flexibility of my car for this trip.

Round 2 — Choose car (Fuel €60 vs Train €60).
Reason: Costs are the same, so I prefer the convenience, door-to-door travel and not having to stick to timetables.

Round 3 — Choose train (Fuel €66 vs Train €60).
Reason: Train is €6 cheaper, and for that saving I’d rather avoid the higher fuel cost and the hassle of parking.

Round 4 — Choose train (Fuel €72 vs Train €60).
Reason: Train saves €12; plus it’s less stressful than a more expensive drive.

Round 5 — Choose train (Fuel €78 vs Train €60).
Reason: Train is €18 cheaper, and I’d prefer to save money while avoiding increased fuel costs.

Round 6 — Choose train (Fuel €84 vs Train €60).
Reason: Train saves €24; cost advantage and lower environmental impact make it preferable.

Round 7 — Choose train (Fuel €90 vs Train €60).
Reason: Train saves €30; too big a price gap to justify driving.

Round 8 — Choose train (Fuel €94 vs Train €60).
Reason: Train saves €34; I’d take the train for the money and convenience of not driving in traffic.

Round 9 — Choose train (Fuel €100 vs Train €60).
Reason: Train saves €40; driving is far more expensive, so I’d definitely take the train.",10.653846153846153,1.8108108108108107,0.038461538461538464,0.37037037037037035,0.24444444444444444
"Round 1 — Fuel €54 vs Train €60
Choice: Car.
Why: Fuel for the trip is cheaper by €6. I own a car and value the flexibility (door-to-door, luggage), so I’d drive when it’s also the cheaper option.

Round 2 — Fuel €60 vs Train €60
Choice: Car.
Why: Costs are equal, so I go with the car for convenience and flexibility (no schedule constraints, easier with bags), unless weather or parking makes driving impractical.

Round 3 — Fuel €66 vs Train €60
Choice: Train.
Why: Train is €6 cheaper now. Given the cost advantage plus decent train connections in Germany, I’d take the train.

Round 4 — Fuel €72 vs Train €60
Choice: Train.
Why: Train is substantially cheaper (€12) and avoids high fuel expense; I’d switch to rail.

Round 5 — Fuel €78 vs Train €60
Choice: Train.
Why: Larger price gap (€18). Train saves money and stress (no parking/searching), so I’d take it.

Round 6 — Fuel €84 vs Train €60
Choice: Train.
Why: Fuel is much more expensive (€24 extra). Train is the sensible, cheaper option.

Round 7 — Fuel €90 vs Train €60
Choice: Train.
Why: Driving would cost €30 more; I’d choose the train.

Round 8 — Fuel €94 vs Train €60
Choice: Train.
Why: Even bigger cost differential (€34) — I’d use the train.

Round 9 — Fuel €100 vs Train €60
Choice: Train.
Why: Driving costs substantially more (€40); I’d definitely take the train.",13.409090909090908,1.375,0.045454545454545456,0.44525547445255476,0.34306569343065696
"Round 1 — Car (fuel €54 vs train €60)
The car is cheaper and more convenient for me (door-to-door, can carry things, no transfers), so I’d drive.

Round 2 — Car (fuel €60 vs train €60)
Costs are the same, but I’d still take the car for the flexibility and convenience (leave when I want, no timetable), so I’d drive.

Round 3 — Train (fuel €66 vs train €60)
Fuel is noticeably more expensive than the train. I’d take the train to save money and avoid driving.

Round 4 — Train (fuel €72 vs train €60)
Train is cheaper; I’d choose the train for the cost savings and to avoid parking hassles.

Round 5 — Train (fuel €78 vs train €60)
Even more expensive to drive. I’d take the train.

Round 6 — Train (fuel €84 vs train €60)
Same reasoning — the train is the better economic choice and less hassle.

Round 7 — Train (fuel €90 vs train €60)
I’d take the train; driving isn’t worth the extra cost.

Round 8 — Train (fuel €94 vs train €60)
Train again — price difference is large and I’d prefer the cheaper, comfortable option.

Round 9 — Train (fuel €100 vs train €60)
Definitely the train; the car is much more expensive and inconvenient at that price.",14.0,1.6307692307692307,0.16666666666666666,0.4260869565217391,0.3130434782608696
"Round 1 — Fuel €54 vs Train €60: I choose the car. It’s cheaper by €6 and I value the flexibility (door-to-door, luggage) so I’d drive.

Round 2 — Fuel €60 vs Train €60: I choose the car. Same monetary cost, and I usually favor the convenience and time control of driving when it doesn’t cost more.

Round 3 — Fuel €66 vs Train €60: I choose the train. It’s €6 cheaper and I don’t want to pay extra; plus I can relax or work on the train.

Round 4 — Fuel €72 vs Train €60: I choose the train. Significantly cheaper, and for this price difference it’s worth taking public transport.

Round 5 — Fuel €78 vs Train €60: I choose the train. I’d switch to the train whenever fuel is substantially more expensive.

Round 6 — Fuel €84 vs Train €60: I choose the train. The cost gap is large enough that train is the sensible option.

Round 7 — Fuel €90 vs Train €60: I choose the train. I wouldn’t pay that much for fuel for this trip.

Round 8 — Fuel €94 vs Train €60: I choose the train. Clear saving and less wear on the car.

Round 9 — Fuel €100 vs Train €60: I choose the train. No reason to drive at that cost; train is far cheaper and convenient enough.",13.473684210526315,1.4461538461538461,0.05263157894736842,0.4434782608695652,0.34782608695652173
